Analysis,Test,Statistic,p-value
Income (Atlanta),Pearson (weighted HOLC score vs per capita income),r = -0.6294,0.000000
Income (Atlanta),Spearman (weighted HOLC score vs per capita income),rs = -0.5590,0.000000
Income (Atlanta),Pearson (redlined fraction vs per capita income),r = -0.4193,0.000000
Income (Atlanta),Pearson (weighted HOLC score vs poverty rate),r = 0.4184,0.000000
Income (Atlanta),One-way ANOVA (per capita income across HOLC grades),F = 38.4607,0.000000
Income (Atlanta),Point-biserial (redlined D vs other grades),r_pb = -0.3870,0.000000
Income (Atlanta),Cohen's d (Grade A vs Grade D),d = 2.9496,N/A
